Position,Position Rank,Player,Team,Bye Week,Projected Points,Roster Status,FantasySharks PID,Player Page
TE,60,Ben Sinnott,WAS,7,27,Available,16644,https://www.fantasysharks.com/players/playerpage.php?PID=16644
DEF,1,Seattle Seahawks,,11,168,My Team,0515,https://www.fantasysharks.com/players/playerpage.php?PID=0515
DEF,2,Houston Texans,,8,165,Other Roster,0532,https://www.fantasysharks.com/players/playerpage.php?PID=0532
DEF,3,Denver Broncos,,10,139,Other Roster,0511,https://www.fantasysharks.com/players/playerpage.php?PID=0511
DEF,4,New England Patriots,,11,132,Other Roster,0504,https://www.fantasysharks.com/players/playerpage.php?PID=0504
DEF,5,Los Angeles Rams,,11,130,Other Roster,0528,https://www.fantasysharks.com/players/playerpage.php?PID=0528
DEF,6,Minnesota Vikings,,6,128,Other Roster,0524,https://www.fantasysharks.com/players/playerpage.php?PID=0524
DEF,7,Philadelphia Eagles,,10,125,Other Roster,0518,https://www.fantasysharks.com/players/playerpage.php?PID=0518
DEF,8,Los Angeles Chargers,,7,121,Available,0514,https://www.fantasysharks.com/players/playerpage.php?PID=0514
DEF,9,Jacksonville Jaguars,,7,119,Other Roster,0509,https://www.fantasysharks.com/players/playerpage.php?PID=0509
DEF,10,Baltimore Ravens,,13,117,Available,0531,https://www.fantasysharks.com/players/playerpage.php?PID=0531
DEF,11,Pittsburgh Steelers,,9,114,Other Roster,0510,https://www.fantasysharks.com/players/playerpage.php?PID=0510
DEF,12,Buffalo Bills,,7,111,Other Roster,0501,https://www.fantasysharks.com/players/playerpage.php?PID=0501
DEF,13,Cleveland Browns,,11,110,Available,0507,https://www.fantasysharks.com/players/playerpage.php?PID=0507
DEF,14,New Orleans Saints,,8,103,Other Roster,0529,https://www.fantasysharks.com/players/playerpage.php?PID=0529
DEF,15,Detroit Lions,,6,102,Other Roster,0522,https://www.fantasysharks.com/players/playerpage.php?PID=0522
DEF,16,Kansas City Chiefs,,5,97,Other Roster,0512,https://www.fantasysharks.com/players/playerpage.php?PID=0512
