player_name,team,position,overall_rank,position_rank,tier,projection,auction_value,source,bye_week,draft_year,draft_round,age_at_week_1,source_file
Dalton Schultz,HOU,TE,202,26,,,,ESPN 2026 Dynasty Top 240,,2018,4,30.08,NFL26_CS_Dyn(new).pdf
J.J. McCarthy,MIN,QB,203,29,,,,ESPN 2026 Dynasty Top 240,,2024,1,23.58,NFL26_CS_Dyn(new).pdf
Kimani Vidal,LAC,RB,204,60,,,,ESPN 2026 Dynasty Top 240,,2024,6,25,NFL26_CS_Dyn(new).pdf
A.J. Barner,SEA,TE,205,27,,,,ESPN 2026 Dynasty Top 240,,2024,4,24.33,NFL26_CS_Dyn(new).pdf
Brashard Smith,KC,RB,206,61,,,,ESPN 2026 Dynasty Top 240,,2025,7,23.33,NFL26_CS_Dyn(new).pdf
Troy Franklin,DEN,WR,207,90,,,,ESPN 2026 Dynasty Top 240,,2024,4,23.58,NFL26_CS_Dyn(new).pdf
Jaylen Wright,MIA,RB,208,62,,,,ESPN 2026 Dynasty Top 240,,2024,4,23.42,NFL26_CS_Dyn(new).pdf
Keon Coleman,BUF,WR,209,91,,,,ESPN 2026 Dynasty Top 240,,2024,2,23.25,NFL26_CS_Dyn(new).pdf
Elijah Arroyo,SEA,TE,210,28,,,,ESPN 2026 Dynasty Top 240,,2025,2,23.42,NFL26_CS_Dyn(new).pdf
Elic Ayomanor,TEN,WR,211,92,,,,ESPN 2026 Dynasty Top 240,,2025,4,23.17,NFL26_CS_Dyn(new).pdf
Chigoziem Okonkwo,WAS,TE,212,29,,,,ESPN 2026 Dynasty Top 240,,2022,4,27,NFL26_CS_Dyn(new).pdf
Jake Tonges,SF,TE,213,30,,,,ESPN 2026 Dynasty Top 240,,2022,U,27.17,NFL26_CS_Dyn(new).pdf
Kaleb Johnson,PIT,RB,214,63,,,,ESPN 2026 Dynasty Top 240,,2025,3,23,NFL26_CS_Dyn(new).pdf
Jaydon Blue,DAL,RB,215,64,,,,ESPN 2026 Dynasty Top 240,,2025,5,22.67,NFL26_CS_Dyn(new).pdf
